Word, Count
a,14620
aaron,96
aaron's,1
abaissiez,1
abandon,4
abandoned,2
abandon'd,6
abase,2
abash'd,1
abate,14
abated,3
abatement,3
abatements,1
abates,1
abbess,25
abbey,20
abbeys,1
abbot,9
abbots,1
abbreviated,1
abed,8
abel,1
abel's,1
aberga'ny,2
abergavenny,8
abet,1
abetting,1
abhominable,1
abhor,19
abhorred,10
abhorr'd,11
abhorr'dst,1
abhorring,2
abhors,4
abhorson,21
abide,38
abides,8
abilities,5
ability,9
ability's,1
abject,11
abjectly,1
abjects,2
abjure,4
abjur'd,2
able,59
abler,1
aboard,28
abode,9
aboded,1
abodements,1
aboding,1
abominable,14
abominably,1
abominations,1
abortive,4
abortives,1
abound,7
abound'st,1
abounding,1
about,408
above,146
abr,5
abraham,3
abraham's,1
abram,5
abreast,3
abridge,2
abridged,1
abridg'd,1
abridgment,4
abroach,3
abroad,64
abrogate,1
abrook,1
abrupt,1
abruption,1
abruptly,1
absence,55
absent,34
absey,1
absolute,30
absolutely,2
absolver,1
absolv'd,3
abstains,1
abstemious,1
abstinence,4
abstract,6
absurd,4
absyrtus,1
abundance,13
abundant,4
abundantly,1
abuse,47
abused,17
abuser,1
abuses,11
abus'd,29
abusing,3
abutting,1
aby,2
abysm,3
academe,1
academes,2
accent,16
accents,7
accept,31
acceptable,1
acceptance,8
accepted,5
accepting,1
accepts,3
access,33
accessary,3
accessed,1
accessible,2
accidence,1
accident,23
accidental,3
accidentally,3
accidents,14
accite,1
accited,1
accites,1
acclamations,1
accommodate,1
accommodated,6
accommodation,1
accommodations,1
accommodo,1
accompanied,9
accompany,8
accompanying,1
accomplices,1
accomplish,3
accomplished,3
accomplish'd,9
accomplishing,1
accomplishment,1
accompt,4
accord,10
accordance,2
accordant,1
accorded,1
accordeth,1
according,45
accordingly,10
accords,3
accost,4
accosted,1
account,45
accountant,2
accounted,7
account'st,1
accounts,2
accoutred,2
accoutrement,2
accoutrements,2
accrue,1
accumulate,2
accumulated,1
accumulation,1
accursed,18
accurs'd,12
accurst,4
accusation,13
accusations,6
accusative,1
accusativo,2
accuse,38
accused,3
accuser,2
accuser's,1
accusers,6
accuses,2
accuseth,1
accus'd,21
accusing,3
accustomed,2
accustom'd,4
ace,5
acerb,1
ache,14
acheron,3
aches,6
achieve,14
achieved,5
achievement,3
achievements,4
achiever,1
achieves,1
achiev'd,8
achieving,1
achilles,159
achilles',6
aching,3
achitophel,1
acknowledge,19
acknowledged,1
acknowledg'd,3
acknowledgment,1
acknown,1
acold,5
aconitum,1
acordo,1
acorn,4
acorn'd,1
acquaint,22
acquaintance,36
acquainted,40
acquaints,1
acquire,4
acquir'd,2
acquisition,1
acquit,8
acquittance,3
acquittances,1
acquitted,3
acre,3
acres,4
across,6
act,378
actaeon,2
actaeon's,1
acted,7
acting,8
action,115
action's,1
actions,23
actium,3
active,9
actively,1
activity,3
actor,12
actor's,1
actors,10
acts,23
actual,3
acture,1
acute,2
acutely,1
ad,11
adage,2
adallas,1
adam,39
adamant,3
adam's,3
add,39
added,18
adder,11
adder's,3
adders,4
adders',1
addeth,1
addict,1
addicted,2
addiction,2
adding,9
addition,30
additional,6
additions,6
addle,3
address,12
addresses,2
address'd,7
addressing,1
addrest,2
adds,5
adhere,2
adheres,3
adieu,100
adieus,2
adjacent,2
adjoin'd,1
adjoining,2
adjourn,1
adjourn'd,1
adjudged,1
adjudg'd,4
adjunct,4
administer,1
administration,1
admirable,15
admiral,6
admiration,12
admire,7
admired,8
admirer,1
admir'd,7
admiring,7
admiringly,2
admission,1
admit,24
admits,7
admittance,10
admitted,14
admitting,1
admonish,1
admonishing,1
admonishment,1
admonishments,1
admonition,2
ado,19
adonis,2
adonis',1
adopt,3
adopted,6
adoptedly,1
adoption,4
adoptious,1
adopts,1
adoration,2
adorations,1
adore,14
adorer,1
adores,2
adorest,1
adoreth,1
ador'd,3
adoring,1
adorn,3
adorned,2
adornings,1
adornment,2
adorns,1
adown,1
adramadio,2
adrian,16
adriana,91
adriano,4
adriatic,1
adsum,1
adulation,1
adulterate,5
adulterates,1
adulterers,1
adulteress,1
adulteries,1
adulterous,2
adultery,7
adultress,4
advance,30
advanced,4
advancement,9
advancements,1
advances,4
advanc'd,14
advancing,8
advantage,72
advantageable,1
advantaged,1
advantageous,2
advantages,10
advantaging,1
advent'rous,1
adventure,22
adventures,3
adventur'd,1
adventuring,1
adventurous,2
adventurously,1
adversaries,11
adversary,6
adversary's,3
adverse,12
adversely,1
adversities,1
adversity,7
adversity's,1
advertise,2
advertised,3
advertisement,4
advertis'd,3
advertising,1
advice,43
advise,39
advised,10
advisedly,2
advises,2
advis'd,29
advisings,1
advocate,8
advocate's,1
advocation,1
aeacida,1
aeacides,1
aedile,17
aediles,8
aegeon,26
aegion,1
aegles,1
aemelia,1
aemilia,4
aemilius,14
aeneas,81
aeneas',2
aeolus,1
aer,1
aer',1
aerial,1
aery,3
aery's,1
aesculapius,1
aeson,1
aesop,1
aetna,1
afar,20
afeard,30
afear'd,3
affability,3
affable,6
affair,12
affaire,1
affairs,68
affect,23
affectation,2
affectations,1
affected,18
affectedly,1
affecteth,1
affecting,3
affection,73
affectionate,1
affectionately,1
affection'd,1
affection's,2
affections,39
affections',1
affects,11
affeer'd,1
affiance,3
affianced,1
affianc'd,1
affied,1
affined,2
affin'd,1
affinity,1
affirm,4
affirmation,1
affirmatives,1
afflict,13
afflicted,8
affliction,20
afflictions,5
afflicts,2
afford,21
affordeth,1
affords,14
affray,1
affright,9
affrighted,7
affrights,5
affront,4
affronted,1
affy,2
afield,2
afire,3
afloat,2
afoot,23
afore,12
afore't,1
aforehand,1
aforesaid,3
afraid,41
afresh,5
afric,4
africa,1
african,1
afront,1
after,419
afternoon,27
afterward,8
afterwards,38
again,769
against,594
agamemmon's,1
agamemnon,94
agamemnon's,6
agate,5
agaz'd,1
age,198
aged,25
age's,5
agenor,1
agent,12
agents,4
ages,13
aggravate,5
aggrief'd,1
ag'd,3
agile,1
agincourt,6
agitation,2
aglet,1
agnize,1
ago,30
agone,2
agony,6
agree,30
agreed,18
agreeing,3
agreement,22
agrees,5
agrippa,56
aground,1
ague,10
aguecheek,93
agued,1
agueface,1
ague's,2
agues,3
a',1
a'leven,1
ah,181
aha,2
ahungry,1
ai,1
aialvolio,1
aiaria,1
aid,58
aidance,1
aidant,1
aided,1
aiding,2
aidless,1
aids,2
ail,2
